2,5,10,20,50,100,200,500,1000,2000,5000
18466666.6666667,8426666.66666667,4296666.66666667,2196666.66666667,869333.333333333,436333.333333333,222000,96400,58600,43000,40833.3333333333
19266666.6666667,8803333.33333333,4470000,2296666.66666667,908666.666666667,453666.666666667,228000,93866.6666666667,50400,31433.3333333333,27400
19400000,8850000,4520000,2323333.33333333,921000,463000,236000,105000,66700,50800,48866.6666666667
19400000,8836666.66666667,4493333.33333333,2303333.33333333,909666.666666667,455333.333333333,229333.333333333,95066.6666666667,52200,34166.6666666667,32100
19600000,8933333.33333333,4550000,2333333.33333333,927666.666666667,463333.333333333,234000,98600,56600,39566.6666666667,39100
19900000,9096666.66666667,4616666.66666667,2366666.66666667,936333.333333333,468666.666666667,236333.333333333,97333.3333333333,52833.3333333333,33766.6666666667,31133.3333333333
20433333.3333333,9313333.33333333,4743333.33333333,2440000,964333.333333333,484333.333333333,245333.333333333,106666.666666667,65266.6666666667,48500,47266.6666666667
18300000,8330000,4233333.33333333,2173333.33333333,861666.666666667,429666.666666667,216666.666666667,89600,48966.6666666667,31700,29700
18466666.6666667,8393333.33333333,4273333.33333333,2193333.33333333,868333.333333333,434666.666666667,219000,90700,49733.3333333333,32400,30566.6666666667
18800000,8536666.66666667,4333333.33333333,2230000,880333.333333333,441333.333333333,222666.666666667,92000,50200,32400,29966.6666666667
19500000,8866666.66666667,4506666.66666667,2313333.33333333,917000,458000,230666.666666667,95400,52000,33533.3333333333,30533.3333333333
19333333.3333333,8836666.66666667,4473333.33333333,2293333.33333333,911333.333333333,455333.333333333,229333.333333333,94633.3333333333,51400,32866.6666666667,29566.6666666667
19366666.6666667,8836666.66666667,4483333.33333333,2293333.33333333,910333.333333333,456333.333333333,230000,94933.3333333333,51600,33100,29800
18200000,8280000,4206666.66666667,2163333.33333333,856333.333333333,428000,215666.666666667,89233.3333333333,48800,31600,28400
19200000,8776666.66666667,4463333.33333333,2293333.33333333,909666.666666667,454333.333333333,229000,96100,54466.6666666667,37300,34300
18833333.3333333,8606666.66666667,4376666.66666667,2243333.33333333,889000,444666.666666667,224000,92533.3333333333,50300,32100,27633.3333333333
19133333.3333333,8736666.66666667,4440000,2276666.66666667,904333.333333333,452000,227666.666666667,94500,52066.6666666667,34033.3333333333,29500
19466666.6666667,8866666.66666667,4506666.66666667,2313333.33333333,917666.666666667,458333.333333333,230666.666666667,95233.3333333333,51600,32666.6666666667,27333.3333333333
18866666.6666667,8606666.66666667,4380000,2253333.33333333,891000,446000,224666.666666667,92866.6666666667,50566.6666666667,32233.3333333333,26966.6666666667
19433333.3333333,8883333.33333333,4520000,2316666.66666667,922000,459666.666666667,231333.333333333,95400,51700,32700,26400
19633333.3333333,8950000,4546666.66666667,2323333.33333333,922000,461333.333333333,232666.666666667,95866.6666666667,51866.6666666667,32600,25633.3333333333
18933333.3333333,8646666.66666667,4383333.33333333,2243333.33333333,889000,446000,225000,92966.6666666667,50666.6666666667,32366.6666666667,26400
18800000,8563333.33333333,4353333.33333333,2240000,890666.666666667,445666.666666667,226000,97733.3333333333,59266.6666666667,43266.6666666667,36100
19566666.6666667,8923333.33333333,4526666.66666667,2323333.33333333,922333.333333333,460666.666666667,232333.333333333,96033.3333333333,52433.3333333333,33566.6666666667,26933.3333333333
